id;jhi_date;description;amount
1;2019-05-02T17:59:48;Customer Human deposit;33902
2;2019-05-02T13:32:18;Saint Helena Pound programming;85632
3;2019-05-01T22:56:29;optical invoice;8413
4;2019-05-01T21:46:34;solid state;66898
5;2019-05-02T05:40:37;Tools Unbranded;66350
6;2019-05-01T20:51:49;clear-thinking;30536
7;2019-05-02T07:03:42;Cayman Islands Dollar invoice;22426
8;2019-05-02T16:00:32;Computers Bedfordshire Fish;36646
9;2019-05-02T04:38:25;calculating withdrawal Nevada;9367
10;2019-05-02T08:01:11;withdrawal Ergonomic;58987
