id;label_name
1;rewrite
2;vanadyl through exploration
3;whoa ick govern
4;subtle coarse extremely
5;during utilization whole
6;wedge monstrous towards
7;cornet
8;plump lest publication
9;huzzah through even
10;till
11;grouper if
12;beneath
13;bidet before vastly
14;provided
15;exalted whoever
16;testing
17;glisten
18;censor violin round
19;happy-go-lucky sin
20;weakly indeed
21;off er
22;pfft
23;minus
24;blank amongst
25;ornery that what
26;joyfully
27;underneath runny
28;hmph new
29;beautifully print
30;peaceful or
