id;date;description;amount
1;2015-08-05T04:18:31;boo brr;4055.8
2;2015-08-05T05:20:47;misfire cheerfully;21270.21
3;2015-08-04T23:58:53;making off worriedly;18493.1
4;2015-08-05T05:36:36;reiterate;7740.18
5;2015-08-04T18:37:48;postbox;16196.21
6;2015-08-04T12:58:47;grumpy;31262.69
7;2015-08-04T18:32:46;venture fooey toady;14908.38
8;2015-08-05T11:23:23;whether;20470.6
9;2015-08-05T00:39:14;until psst;31820.37
10;2015-08-05T00:26:00;extremely;2845.85
11;2015-08-05T09:02:20;sonata tense;17636.06
12;2015-08-04T17:26:09;dental whoever;14304.75
13;2015-08-05T05:59:03;continually;29350.88
14;2015-08-04T18:11:16;inasmuch consequently;18970.02
15;2015-08-04T15:25:17;old inure;7907.65
16;2015-08-05T06:57:02;bank how;4084.09
17;2015-08-05T03:55:23;step-mother consequently;21208.62
18;2015-08-04T14:28:48;ick;15461.47
19;2015-08-04T17:30:39;aged abseil;30061.08
20;2015-08-05T07:00:14;cleave during wrongly;6821.61
21;2015-08-04T21:08:16;vague mutate;29014.29
22;2015-08-04T18:54:49;instead floodlight;10073.58
23;2015-08-05T06:56:42;superficial whether;25036.54
24;2015-08-04T14:47:54;yieldingly following sin;2036.72
25;2015-08-05T05:31:26;excepting;18727.24
26;2015-08-05T08:44:27;bowler late mild;14070.16
27;2015-08-05T07:06:40;where;17777.94
28;2015-08-05T01:25:53;browse;17334.14
29;2015-08-04T15:59:28;unethically archive meanwhile;15698.36
30;2015-08-04T16:28:15;quickly;7562.48
